,Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
90,24401,WBSBL93464JR24664,True,ImolaElite,"Quincy, Massachusetts 02171",BMW E46 M3,2004,188000,3.2-Liter Inline-Six,6-Speed Manual Transmission,,17000
91,23939,1E30080,True,FantasyJunction,"Emeryville, California 94608",,,1000,Modified 4.2L XK Inline-Six,Getrag 5-Speed Manual Transmission,,250000
92,24209,1FTEF14H7TNA00059,True,flyn-hawn,"La Mesa, California 91941",Ford Pickup,1996,49000,5.8L V8,Automatic Transmission,,9000
93,24414,WP0AB0910HS120178,True,Skcrawford,"Alameda, California 94501",Porsche Impact Bumper 911,1987,244000,3.2-Liter Flat-six,G50 Five-Spee Manual Transaxle,,10911
94,24407,WP0AA0910DS121537,True,perray,"La Mesa, California 91942",Porsche Impact Bumper 911,1983,75000,3.0-Liter Flat-Six,915 5-Speed Manual Transaxle,,15500
95,24322,JA3AH86C66U069403,True,996x50turbo,"Colorado Springs, Colorado 80904",Mitsubishi Lancer Evolution,2006,15771,Turbocharged 2.0L Inline-Four,6-Speed Manual Transmission,,35000
96,24432,224801,True,LazMotors,"Olympia, Washington 98516",Volvo Amazon,1967,123000,1.8-Liter B18 Inline-Four,Three-Speed Automatic Transmission,,6000
97,24280,ZARBA5414F1023876,True,Lisa1956,"Woodbine, Maryland 21797",Alfa Romeo 105/115 Series Spider,1985,93000,2.0L Twin-Cam Inline-Four,Rebuilt 5-Speed Manual Gearbox,,3454
98,24359,WP0AB29858U782979,True,rmessner,"Denver, Colorado 80223",Porsche Cayman,2008,67000,3.4-Liter Flat-Six,6-Speed Manual Transaxle,,16987
99,24451,ZFFYR51A0X0118073,True,oneconnoisseur,"San Francisco, California 94110",Ferrari 360,1999,43000,3.6-Liter DOHC V8,6-Speed F1 Sequential Gearbox,,30250
100,24468,1ZVHT88SX75322296,True,Tsundru,"Spring Valley, New York 10977",Ford Mustang S197 2005-2014,2007,6000,Supercharged 5.4-Liter DOHC V8,Tremec Six-Speed Manual Transmission,,20000
101,24417,WP0AA2993YS620095,True,hughespt,"Saint Charles, Missouri 63301",Porsche 996 911,2000,41000,3.4-Liter M96 Flat-Six,Six-Speed Manual Transaxle,,8250
102,24360,ZARBB32N9N7004677,True,Mdfatsi,"Richmond, Virginia 23225",Alfa Romeo 105/115 Series Spider,1992,56000,2.0L Twin-Cam Inline-Four,5-Speed Manual Transmission,,4100
103,24226,SAJNW484XLC168817,True,Vander,"Dublin, Ohio 43016",Jaguar XJS,1990,57000,No Engine Data Found,3-Speed Automatic Transmission,,13500
104,24366,WDBPJ76J53A003058,True,Bad_Chadi,"North Royalton, Ohio 44133",Mercedes-Benz CL-Class,2003,101000,5.5-Liter Bi-turbo V12,5-Speed Automatic Transmission,,6215
105,24362,2T87P7N254668,True,loops1892,"POST FALLS, Idaho 83854",Pontiac Firebird,1977,70000,350ci V8,3-Speed Automatic Transmission,,2500
106,24410,1J4GS5873KP104560,True,MadCarDisease,"Ferndale, Washington 98248",Jeep Grand Wagoneer,1989,239000,5.9-Liter V8,3-Speed A727 Automatic Transmission,,6700
107,24270,WBABB2315MEC26837,True,choicedealsnc2017,"Raleigh, North Carolina 27606",BMW E30,1991,122000,2.5-Liter M20 Inline-Six,Four-Speed Automatic Transmission,,3500
108,24461,F15BLCF5587,True,Rpm3303,"Esko, Minnesota 55733",Ford Pickup,1978,46000,No Engine Data Found,Three-Speed Manual Transmission w/ Overdrive,,1000
109,24278,WDBAB33C5FA217549,True,altitude38k,"Richmond, Indiana 47374",Mercedes-Benz W123,1985,165000,3.0-Liter Turbodiesel Inline-Five,Four-Speed Automatic Transmission,,3000
110,24370,1FABP28TXGF215994,True,sephiroth0001,"Booneville, Mississippi 38829",Ford Fox-Body Mustang,1986,20000,Turbocharged 2.3L Inline-Four,5-Speed Manual Transmission,,8000
111,24348,HLS30-06206,True,cagerinklink,"Hanover, New Hampshire 03755",Datsun 240Z,1970,8000,Numbers-Matching 2.4-Liter Inline-Six,4-Speed Manual Transmission,,12240
112,24225,J5404704,True,peanutrls,"Irvine, California 92620",,1976,47000,2.7L Diesel Inline-Four,4-Speed Manual Transmission,,3000
113,24464,1FACP42D8PF137300,True,GTAuto,"Rancho Cordova, California 95742",Ford Fox-Body Mustang,1993,82000,5.0L V8,5-Speed Manual Transmission,,5000
114,24260,678099,True,Rootwo,"Atascadero, California 93422",,1960,120000,"1,050cc Abarth A-112 Inline-Four",Four-Speed Manual Transaxle,,27777
115,24386,WP0JA0926CS821604,True,evan.hbi,"Mocksville, North Carolina 27028",Porsche 928,,98000,4.5-Liter V8,5-Speed Manual Transaxle,,6928
116,24476,BPVSM2719,True,rodpick,"San Clemente, California 92672",,1954,74000,"1,911cc Inline-Four",Three-Speed Manual Transmission,,
117,24303,WDB1240361B742670,True,renntech36,"Long Beach, California 90808",Mercedes-Benz W124 E-Class,,166000,5.0-Liter M119 V8,4-Speed Automatic Transmission,,20000
118,24255,LRX 11531,True,chiplamb,"Savannah, Georgia 31405",,1971,8000,6.75-Liter V8,3-Speed Automatic Transmission,,15000
119,24256,JT4RN55D6H7017583,True,Oregon_Motor_Company,"Camas, Washington 98607",Toyota Pickup,1987,88000,2.4-Liter 22R Inline-Four,5-Speed Manual Gearbox,,4200
120,24431,1B7KW34W1FS522687,True,gdrum,"Muncie, Indiana 47302",,1985,57000,360ci V8,Three-Speed Automatic Transmission,,2666
121,24233,5816MS33627,True,johnstanley,"Hood River, Oregon 97031",,1958,661,350cc Single-Cylinder Engine,4-Speed Transmission,,2500
122,24347,RC0119BM107301,True,O2theL,"Walton, Kentucky 41094",Honda Motorcycles,1981,32000,DOHC 748cc 4-Cylinder,5-Speed Transmission,,750
123,24428,1JCCM88E9FT082655,True,Rayhd,"Bozeman, Montana 59715",Jeep CJ-7,1985,115000,No Engine Data Found,Tremec 4-Speed Manual Gearbox,,12000
124,24216,2762277,False,Achman,"West Orange, New Jersey 07052",BMW 2002,1972,25000,2.0L M10 Inline-Four,4-Speed Manual Transmission,,3300
125,24368,1836363007795,True,Tsc2267,"Groveland, California 95321",Volvo 1800ES,1973,159000,2.0-Liter Inline-Four,3-Speed Automatic Transmission,,4000
126,24274,WP0AC29977S792932,True,copleymotorcars,"Needham, Massachusetts 02492",Porsche GT3,2007,20116,3.6-Liter Flat-Six,Six-Speed Manual Transaxle,,60000
127,24475,1FTHF26GXLPA09916,True,1969911Ss,"Payson, Utah 84651",Ford Pickup,1990,26795,460ci V8,Five-Speed Manual Transmission,,7500
128,24288,WP0AB0918JS120810,True,gbarkan98,"Tucson, Arizona 85750",Porsche Impact Bumper 911,1988,85000,3.2-Liter Air-Cooled Flat-Six,G50 5-Speed Manual Transaxle,,15250
129,24300,WBSDE93482CF90662,True,JIrwan,"Fishers, Indiana 46040",BMW E39 M5,2002,140000,4.9-Liter V8,6-Speed Manual Transmission,,17770
130,24257,43237,True,SportsPurposeGarage,"Livermore, California 94551",,1951,2735,No Engine Data Found,Manual Transmission with Overdrive,,8500
131,24433,ZFFXA20A7G0061437,True,JRA2013,"Clarence Center, New York 14032",Ferrari 328,1986,61000,3.2-Liter F105CB V8,5-Speed Manual Gearbox,,10000
132,24284,WDBHA33G2XF823545,True,Frankenbenz,"Everett, Washington 98208",Mercedes-Benz AMG,1999,278000,5.4-Liter M113 V8,722.6 Five-Speed Automatic Transmission,,5455
133,24305,WP0JB0931GS050271,True,akpcm,"Costa Mesa, California 92627",Porsche 930 Turbo,1986,102000,Turbocharged 3.3-Liter Flat-Six,Four-Speed Manual Transaxle,,33930
134,24213,WBSCM9341YLC61731,True,Clayman,"Wichita, Kansas 67208",BMW M Coupe,2000,91000,3.2-Liter S52 Inline-Six,Five-Speed Manual Transmission,,12000
135,24218,MVIN205781IND,True,SteveLobban,"Lake George, New York 12845",,1939,85000,350ci V8,4-Speed TH400 Automatic Transmission,,8000
136,24452,194379S736038,True,lambogas,"Spring, Texas 77373",Chevrolet Corvette C3,1969,57000,427ci V8,4-Speed Manual Transmission,,10000
137,24443,40967W135104,True,westwoodscl,"Burnaby, British Columbia, Canada",Chevrolet Corvair,1964,16000,No Engine Data Found,4-Speed Manual Gearbox,,2100
138,24365,WP0AA29992S624045,True,WAH,"Dallas, Texas",Porsche 996 911,2002,41000,3.6L Flat-Six,6-Speed Manual Gearbox,,39000
139,24379,JHMAP21417S004181,True,lealex,"Seattle, Washington 98148",Honda S2000,2007,30000,2.2-Liter Inline-Four,6-Speed Manual Transmission,,15000
140,24229,TD25257,True,pinkyracer,"Belmont, California 94002",MG TD,1953,151000,"1,250cc XPAG Inline-Four",4-Speed Manual Transmission,,12000
141,24334,WP0AB2A91CS721038,True,SWVintage,"PHOENIX, Arizona 85018",Porsche 997 911,2012,11000,3.8-Liter Flat-Six,7-Speed PDK Transaxle,,61000
142,24353,WDBUF76J75A682884,True,Andrew.Allen,"Mendham, New Jersey 07945",Mercedes-Benz AMG,2005,98000,Supercharged 5.4-Liter M113 V8,5G-Tronic Automatic Transmission,,7555
143,24374,119120647,True,amir458,"San Rafael, California 94901",Porsche Longhood 911,1969,90000,2.0-Liter M901 Flat-Six,Original Five-Speed Transaxle,,50000
144,24413,2G1FP22P9T2157789,True,bill930p,"Miami, Florida 33186",Chevrolet Camaro,1996,14000,383ci V8 Stroker,6-Speed Manual Transmission,,4800
145,24439,GHD4U169939G,True,Johncooperclassics,"Brossard, Quebec, Canada",MG MGB,1969,141000,Rebuilt 1.8-Liter Inline-Four,4-Speed Manual Gearbox with Overdrive,,5000
146,24458,WP0JB0921ES860231,True,Vander,"Dublin, Ohio 43016",Porsche 928,1984,75000,4.7-Liter V8,Four-Speed Automatic Transaxle,,928
147,24283,0F02G138357,True,GTAuto,"Rancho Cordova, California 95742",Ford Mustang 1969-1973,1970,85000,Replacement Boss 302ci V8,4-Speed Manual Transmission,,27000
148,24214,WP0AC29934S692354,True,bigT911,"Bensenville, Illinois 60106",Porsche GT3,2004,65000,3.6-Liter Mezger Flat-Six,Six-Speed Manual Transmission,,31000
