Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
14721.0,WAPB330L03E300016,True,930CharlesW,"Kirkland, Washington 98034",BMW Alpina,1993.0,105731.0,3.0L Inline-Six,5-Speed Manual,2018-12-10,20000.0
18481.0,G0052GGD42749,True,SLGGR,"Topeka, Kansas 66614",International Harvester Scout,1977.0,135000.0,304ci V8,3-Speed 727 Automatic Transmission,2019-05-03,19200.0
15403.0,WP0EA091XCS160927,True,GRMotors,"Santa Barbara, California 93101",Porsche Impact Bumper 911,1982.0,277587.0,3.0L Flat-Six,915 5-Speed Manual Transaxle,2019-01-09,31161.0
13804.0,222539,True,mulroney,"Orleans, Massachusetts 02653",Porsche 356,1965.0,143000.0,Numbers-Matching 1600cc H4,Replacement 4-Speed Transaxle,2018-11-06,55183.0
16188.0,L22488,True,rareunique,"Cleveland, Georgia 30528",,1958.0,,No Engine Data Found,3-Speed Dual-Range Transmission,2019-02-08,19000.0
14715.0,5UMDU934X7LL93891,True,mcaden,"Bethesda, Maryland 20814",BMW Z4 M Coupe,2007.0,75478.0,S54 3.2L I6,6-Speed Manual Transmission,2018-12-10,25050.0
20411.0,SFM6S727,True,tommy92racer,"Phoenix, Arizona 85044",Shelby Mustang GT350 & GT500,1966.0,,289ci V8,Four-Speed Manual Transmission,2019-07-09,80500.0
18411.0,B61NY,True,Bentley52,"Kent, Washington 98031",,1952.0,154000.0,4.6-Liter Inline-Six,4-Speed Manual,2019-05-01,29000.0
20231.0,WP0AA29924S621474,True,Thoroughbred_Motorsport,"Oceanside, New York 11572",Porsche 996 911,2004.0,47475.0,3.6-Liter Flat-Six,6-Speed Manual Transmission,2019-06-25,36250.0
17120.0,5R09T225006,True,blown289,"Apopka, Florida 32712",Ford Mustang 1964.5-1966,1965.0,70000.0,289ci V8,5-Speed Manual Transmission,2019-03-15,36553.0
17069.0,1060074/VN,True,OldenzaalClassics,"Oldenzaal, Netherlands",BMW 2002,1968.0,93000.0,"Numbers-Matching 1,573cc M10 Inline-Four",4-Speed Manual Transmission,2019-03-14,13750.0
14680.0,J9A93AH115702,True,bruce_m,"Doylestown, Pennsylvania 18901",Jeep CJ-7,1979.0,1000.0,4.2L Inline-Six,Automatic Transmission,2018-12-07,15000.0
16587.0,WDBFA63E9F121013,True,Cars2k,"Yorba Linda, California 92886",Mercedes-Benz R129 SL,1995.0,157000.0,3.2L Inline-Six,5-Speed Automatic,2019-02-25,8950.0
14515.0,1129,True,ThatGoddamTodd,"Altadena, California 91001",,1936.0,,No Engine Data Found,,2018-12-03,11500.0
15451.0,ZFFXR48A1W0112065,True,matjer,"Highland Park, Illinois 60035",Ferrari F355,1998.0,41000.0,3.5L Quad-Cam V8,6-Speed Manual Transmission,2019-01-10,62500.0
19129.0,HDC466059,True,911man,"Toronto, Ontario",MG TF,1955.0,4000.0,Overbored 1.3-Liter Inline-Four,Rebuilt 4-Speed Manual Transmission,2019-05-23,20250.0
20786.0,12AAV1230E1003978,True,Avanti84,"Federal Way, Washington 98003",,1984.0,165000.0,5.0-Liter GM V8,4-Speed 700R4 Automatic Transmission,2019-07-10,6500.0
16680.0,194675S111507,True,americanmotorscorp,"San Jose, California 95129",Chevrolet Corvette C2,1965.0,51000.0,327ci L75 V8,4-Speed Manual Transmission,2019-02-28,37000.0
14808.0,9111121131,True,rwm514,"Flagstaff, Arizona 86004",Porsche Longhood 911,1971.0,5471.0,2.7-Liter FLat-Six,5-Speed Manual Transaxle,2018-12-12,70911.0
19396.0,WP0DA2991VS385432,True,SWVintage,"Phoenix, Arizona 85018",Porsche 993 911,1997.0,22000.0,3.6-Liter Flat-Six,6-Speed Manual TRansaxle,2019-05-31,73000.0
